beat,TRACTCE10,GEOID10
L2,001100,53033001100
L2,001000,53033001000
L2,001200,53033001200
L3,002200,53033002200
L3,000900,53033000900
L3,000800,53033000800
L3,002000,53033002000
L3,002100,53033002100
L3,001100,53033001100
L3,001000,53033001000
L3,000700,53033000700
L3,000200,53033000200
L3,000100,53033000100
L3,021300,53033021300
M1,990100,53033990100
M1,008100,53033008100
M1,008002,53033008002
M1,007200,53033007200
M1,008001,53033008001
M2,008100,53033008100
M2,008200,53033008200
M2,008300,53033008300
M2,008002,53033008002
M2,007200,53033007200
M2,007300,53033007300
M3,008100,53033008100
M3,008200,53033008200
Q1,990100,53033990100
Q1,007100,53033007100
Q1,005802,53033005802
Q1,005600,53033005600
Q1,005900,53033005900
Q1,005801,53033005801
Q1,005700,53033005700
Q1,004700,53033004700
Q1,003200,53033003200
O2,010900,53033010900
O2,010402,53033010402
O2,011200,53033011200
O2,009900,53033009900
O2,010800,53033010800
O2,009300,53033009300
S1,026300,53033026300
S1,011002,53033011002
S1,010401,53033010401
S1,010402,53033010402
S1,011700,53033011700
S1,011001,53033011001
S1,011101,53033011101
S1,010300,53033010300
O3,026300,53033026300
O3,011002,53033011002
O3,010900,53033010900
O3,010402,53033010402
O3,011700,53033011700
O3,011200,53033011200
O3,009300,53033009300
Q2,006700,53033006700
Q2,006000,53033006000
Q2,004900,53033004900
Q2,007100,53033007100
Q2,007000,53033007000
Q2,006900,53033006900
Q2,005802,53033005802
Q2,006800,53033006800
Q2,005900,53033005900
Q2,005801,53033005801
Q2,004800,53033004800
Q2,004700,53033004700
Q3,990100,53033990100
Q3,007200,53033007200
Q3,006700,53033006700
Q3,008001,53033008001
Q3,007100,53033007100
Q3,007000,53033007000
Q3,006900,53033006900
Q3,005802,53033005802
S2,011700,53033011700
S2,011800,53033011800
S2,011001,53033011001
S2,011101,53033011101
S2,011102,53033011102
S2,010300,53033010300
S2,010200,53033010200
R1,010401,53033010401
R1,010402,53033010402
R1,010300,53033010300
